"context","food","nonfood","travel","money","beauty","fun","health","dwelling","outfit","kids","misc","telecom","remote","charity"
"Ковид","0.17510890948905605","1.5470559615916908","0.44620446524017265","0.9133985438773761","1.199894422151647","0.5029131866791476","0.2671117337174879","0.8073889477175721","1.9784424203341013","1.261238481738108","1.1412428765287306","0.9160032768619444","2.1206707137716694","3.4563615181092238"
"Белоруссия","0.18061009392509678","1.5482165993866193","0.491844987897325","0.8049400145701505","1.2149675211381743","0.5983808320212252","0.3240522267841298","1.0201672717840737","2.2336756986783013","1.4597557555407965","1.3017337558409738","1.0488660589642578","2.514514881413714","2.9736136539161477"
"Украина","0.19079881448291308","1.6502478416512798","0.541987661644526","0.8605455385040768","1.2909759728010406","0.5584062345874443","0.2990722297522203","0.8593713740179719","2.2138010420818093","1.6481394018616284","1.240775162252594","1.2190921778428385","2.2631601588317354","4.024429080949612"
"Здоровье","1.6069563969078817","4.578099196338454","1.4642164082295368","3.186822571206492","2.870123735754324","2.449652247277175","4.084466397802236","4.105184756691875","3.272671125676771","2.73926235208092","1.5715710840205959","1.5388529634191985","2.164334936338171","5.026797237339121"
"Спорт","0.28631630149032206","1.6195754929020443","0.4959469462023089","0.8179589131880162","1.1194586502925905","0.6473788049629987","0.6275405652430517","1.1062542465425917","2.7007231240194143","2.10273795380112","1.2814149803127326","0.9270597280579942","3.4664245023953426","4.573554467504278"
"Погода","0.1687913890399272","1.5533087719979062","0.4905520524805451","1.0050323396118428","0.8855009808335144","0.619254978246031","0.3373020511678295","1.0755926849060047","2.1857139332311837","2.2266031839632685","1.3070891135820997","0.8577166875937425","2.151077118536106","2.2981489032410356"
"Религия","0.15090761001053837","1.631949874152642","0.49526270965021846","0.48576606668632294","1.2156421336688088","0.5649634715666637","0.29804357316746105","1.0260894825183386","2.1719090740415536","1.9913695826033475","1.3463488157692993","1.0376317740741352","2.242729914331748","3.6589543073554407"
"Авиация","0.16605888195154417","1.6576756881988666","0.5359345416960969","0.8675888430134693","1.1842147592546024","0.44543392501588636","0.3171904411682569","0.7474985869796764","2.26433156887076","1.8691117634458316","1.1987838924777736","0.8629351268746762","1.950034083935366","3.412922614270109"
"Путешествия","0.2201894445752561","1.6799355723926859","0.4913072839089545","1.0961975079257502","1.376804638704073","0.35064189535715024","0.37627492170273635","0.5991217655354067","2.5277703897036057","1.7713562123668662","1.2558554776293864","1.4405149895781788","2.154042133994898","3.2157879194134438"
"Метро","0.24335642087254536","1.6450742737018726","0.4238663020358098","0.8684935169946519","1.2528531933734028","0.5029180408008412","0.311556704392848","0.8696429250436705","2.2621396521663053","1.9283088153371373","1.2355421936263886","0.9231315377659443","1.7982543750057034","4.230744754572705"
"Телевидение","0.2555928008238017","1.636461150597519","0.4989526779534574","0.8968271502448993","0.9762460506880442","0.47829562294450234","0.45600362257630844","1.0878056553790083","2.1700554120930176","1.9966376349180266","1.351890822993857","0.930340449208739","2.239443882963093","2.7030597518818267"
"Инвестиции","0.1671440206807854","1.6832733879047452","0.6297066476791615","0.7660012712103625","1.2575760232232562","0.49583876180371256","0.3423398845718806","0.5921790177867776","2.384175914109869","2.0236581284543447","1.3327820776595976","0.9714078849602952","2.1971734757907155","3.664867935420852"
"Правительство","0.17880403137612955","1.6387365784756946","0.5137782361582027","1.0125668085128765","1.1946194764922635","0.7276073399706253","0.3112025305442396","0.9546303263512896","1.768237593741168","2.5284032226768094","1.2460065264540543","2.1724277318201586","1.902611952411325","6.173572379053788"
